hog_graph_index,sdp_seed,present_p,missing_cached_p
98,4000042,[1],"[3, 5]"
98,5000042,[1],"[3, 5]"
98,6000042,[1],"[3, 5]"
98,7000042,[1],"[3, 5]"
98,8000042,[1],"[3, 5]"
98,9000042,[1],"[3, 5]"
99,42,[1],"[3, 5]"
99,1000042,[1],"[3, 5]"
99,2000042,[1],"[3, 5]"
99,3000042,[1],"[3, 5]"
99,4000042,[1],"[3, 5]"
99,5000042,[1],"[3, 5]"
99,6000042,[1],"[3, 5]"
99,7000042,[1],"[3, 5]"
99,8000042,[1],"[3, 5]"
99,9000042,[1],"[3, 5]"
100,42,[1],"[3, 5]"
100,1000042,[1],"[3, 5]"
100,2000042,[1],"[3, 5]"
100,3000042,[1],"[3, 5]"
100,4000042,[1],"[3, 5]"
100,5000042,[1],"[3, 5]"
100,6000042,[1],"[3, 5]"
100,7000042,[1],"[3, 5]"
100,8000042,[1],"[3, 5]"
100,9000042,[1],"[3, 5]"
101,42,[1],"[3, 5]"
101,1000042,[1],"[3, 5]"
101,2000042,[1],"[3, 5]"
101,3000042,[1],"[3, 5]"
101,4000042,[1],"[3, 5]"
101,5000042,[1],"[3, 5]"
101,6000042,[1],"[3, 5]"
101,7000042,[1],"[3, 5]"
101,8000042,[1],"[3, 5]"
101,9000042,[1],"[3, 5]"
102,42,[1],"[3, 5]"
102,1000042,[1],"[3, 5]"
102,2000042,[1],"[3, 5]"
102,3000042,[1],"[3, 5]"
102,4000042,[1],"[3, 5]"
102,5000042,[1],"[3, 5]"
102,6000042,[1],"[3, 5]"
102,7000042,[1],"[3, 5]"
102,8000042,[1],"[3, 5]"
102,9000042,[1],"[3, 5]"
103,42,[1],"[3, 5]"
103,1000042,[1],"[3, 5]"
103,2000042,[1],"[3, 5]"
103,3000042,[1],"[3, 5]"
103,4000042,[1],"[3, 5]"
103,5000042,[1],"[3, 5]"
103,6000042,[1],"[3, 5]"
103,7000042,[1],"[3, 5]"
103,8000042,[1],"[3, 5]"
103,9000042,[1],"[3, 5]"
104,42,[1],"[3, 5]"
104,1000042,[1],"[3, 5]"
104,2000042,[1],"[3, 5]"
104,3000042,[1],"[3, 5]"
104,4000042,[1],"[3, 5]"
104,5000042,[1],"[3, 5]"
104,6000042,[1],"[3, 5]"
104,7000042,[1],"[3, 5]"
104,8000042,[1],"[3, 5]"
104,9000042,[1],"[3, 5]"
105,42,[1],"[3, 5]"
105,1000042,[1],"[3, 5]"
105,2000042,[1],"[3, 5]"
105,3000042,[1],"[3, 5]"
105,4000042,[1],"[3, 5]"
105,5000042,[1],"[3, 5]"
105,6000042,[1],"[3, 5]"
105,7000042,[1],"[3, 5]"
105,8000042,[1],"[3, 5]"
105,9000042,[1],"[3, 5]"
106,42,[1],"[3, 5]"
106,1000042,[1],"[3, 5]"
106,2000042,[1],"[3, 5]"
106,3000042,[1],"[3, 5]"
106,4000042,[1],"[3, 5]"
106,5000042,[1],"[3, 5]"
106,6000042,[1],"[3, 5]"
106,7000042,[1],"[3, 5]"
106,8000042,[1],"[3, 5]"
106,9000042,[1],"[3, 5]"
107,42,[1],"[3, 5]"
107,1000042,[1],"[3, 5]"
107,2000042,[1],"[3, 5]"
107,3000042,[1],"[3, 5]"
107,4000042,[1],"[3, 5]"
107,5000042,[1],"[3, 5]"
107,6000042,[1],"[3, 5]"
107,7000042,[1],"[3, 5]"
107,8000042,[1],"[3, 5]"
107,9000042,[1],"[3, 5]"
108,42,[1],"[3, 5]"
108,1000042,[1],"[3, 5]"
108,2000042,[1],"[3, 5]"
108,3000042,[1],"[3, 5]"
108,4000042,[1],"[3, 5]"
108,5000042,[1],"[3, 5]"
108,6000042,[1],"[3, 5]"
108,7000042,[1],"[3, 5]"
108,8000042,[1],"[3, 5]"
108,9000042,[1],"[3, 5]"
109,42,[1],"[3, 5]"
109,1000042,[1],"[3, 5]"
109,2000042,[1],"[3, 5]"
109,3000042,[1],"[3, 5]"
109,4000042,[1],"[3, 5]"
109,5000042,[1],"[3, 5]"
109,6000042,[1],"[3, 5]"
109,7000042,[1],"[3, 5]"
109,8000042,[1],"[3, 5]"
109,9000042,[1],"[3, 5]"
110,42,[1],"[3, 5]"
110,1000042,[1],"[3, 5]"
110,2000042,[1],"[3, 5]"
110,3000042,[1],"[3, 5]"
110,4000042,[1],"[3, 5]"
110,5000042,[1],"[3, 5]"
110,6000042,[1],"[3, 5]"
110,7000042,[1],"[3, 5]"
110,8000042,[1],"[3, 5]"
110,9000042,[1],"[3, 5]"
111,42,[1],"[3, 5]"
111,1000042,[1],"[3, 5]"
111,2000042,[1],"[3, 5]"
111,3000042,[1],"[3, 5]"
111,4000042,[1],"[3, 5]"
111,5000042,[1],"[3, 5]"
111,6000042,[1],"[3, 5]"
111,7000042,[1],"[3, 5]"
111,8000042,[1],"[3, 5]"
111,9000042,[1],"[3, 5]"
112,42,[1],"[3, 5]"
112,1000042,[1],"[3, 5]"
112,2000042,[1],"[3, 5]"
112,3000042,[1],"[3, 5]"
112,4000042,[1],"[3, 5]"
112,5000042,[1],"[3, 5]"
112,6000042,[1],"[3, 5]"
112,7000042,[1],"[3, 5]"
112,8000042,[1],"[3, 5]"
112,9000042,[1],"[3, 5]"
113,42,[1],"[3, 5]"
113,1000042,[1],"[3, 5]"
113,2000042,[1],"[3, 5]"
113,3000042,[1],"[3, 5]"
113,4000042,[1],"[3, 5]"
113,5000042,[1],"[3, 5]"
113,6000042,[1],"[3, 5]"
113,7000042,[1],"[3, 5]"
113,8000042,[1],"[3, 5]"
113,9000042,[1],"[3, 5]"
114,42,[1],"[3, 5]"
114,1000042,[1],"[3, 5]"
114,2000042,[1],"[3, 5]"
