hog_graph_index,sdp_seed,p,logs,status
110,4000042,5,0,0
110,5000042,3,0,0
110,5000042,5,0,0
110,6000042,3,0,0
110,6000042,5,0,0
110,7000042,3,0,0
110,7000042,5,0,0
110,8000042,3,0,0
110,8000042,5,0,0
110,9000042,3,0,0
110,9000042,5,0,0
111,42,3,0,0
111,42,5,0,0
111,1000042,3,0,0
111,1000042,5,0,0
111,2000042,3,0,0
111,2000042,5,0,0
111,3000042,3,0,0
111,3000042,5,0,0
111,4000042,3,0,0
111,4000042,5,0,0
111,5000042,3,0,0
111,5000042,5,0,0
111,6000042,3,0,0
111,6000042,5,0,0
111,7000042,3,0,0
111,7000042,5,0,0
111,8000042,3,0,0
111,8000042,5,0,0
111,9000042,3,0,0
111,9000042,5,0,0
112,42,3,0,0
112,42,5,0,0
112,1000042,3,0,0
112,1000042,5,0,0
112,2000042,3,0,0
112,2000042,5,0,0
112,3000042,3,0,0
112,3000042,5,0,0
112,4000042,3,0,0
112,4000042,5,0,0
112,5000042,3,0,0
112,5000042,5,0,0
112,6000042,3,0,0
112,6000042,5,0,0
