log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error,exact_result_raw,exact_result_log_scale,rounded_over_exact_rescaled,alg17_lower_bound_over_exact_rescaled,alg17_actual_over_exact_rescaled,sdp_objective_over_exact_rescaled,cut_edges_over_exact_rescaled
sdp_n20_rep1_seednone.log,20,1,20,8,14,14,hog,20,False,False,True,14.210358513693379,8.564023676548409,8.635648582990866,8.908537656779531,14.382370230651667,9,0.6026606343742805,0.6077009650860945,0.626904497039613,1.0121046711659338,0.6333408120088895,0.5954528731499893,0.619406781630032,1.0273121593322618,2026-06-30 15:33:38 CEST,19m 35s,1175.39,,14.210358513693379,28.420717027386758,0.30133031718714026,0.30385048254304725,0.3134522485198065,0.5060523355829669,0.31667040600444474
sdp_n21_rep1_seednone.log,21,1,21,9,16,16,hog,21,False,False,False,16.256838127689136,,,,,,,,,,,,,,2026-06-30 15:33:39 CEST,,,,16.256838127689136,32.51367625537827,,,,,
sdp_n22_rep1_seednone.log,22,1,22,10,18,18,hog,22,False,False,False,18.094599567874123,,,,,,,,,,,,,,2026-06-30 15:33:40 CEST,,,,18.094599567874123,36.18919913574825,,,,,
sdp_n23_rep1_seednone.log,23,1,23,11,20,20,hog,23,False,False,False,20.184414693477372,,,,,,,,,,,,,,2026-06-30 15:33:42 CEST,,,,20.184414693477372,40.368829386954744,,,,,
sdp_n24_rep1_seednone.log,24,1,24,12,22,22,hog,24,False,False,False,21.937872725048788,,,,,,,,,,,,,,2026-06-30 15:33:44 CEST,,,,21.937872725048788,43.875745450097575,,,,,
sdp_n25_rep1_seednone.log,25,1,25,15,21,21,hog,25,False,False,False,20.999999999999996,,,,,,,,,,,,,,2026-06-30 15:33:46 CEST,,,,20.999999999999996,41.99999999999999,,,,,
sdp_n26_rep1_seednone.log,26,1,26,5,10,10,hog,26,False,False,True,8.0,5.546443236094645,5.312611248036829,5.546443236094643,8.750770904472155,4,0.6933054045118306,0.6640764060046036,0.6933054045118304,1.0938463630590194,0.5,0.6338233850071527,0.6338233850071525,0.8750770904472155,2026-06-30 15:33:48 CEST,27s,26.85,,8.0,16.0,0.3466527022559153,0.3320382030023018,0.3466527022559152,0.5469231815295097,0.25
sdp_n27_rep1_seednone.log,27,1,27,7,14,14,hog,27,False,False,True,13.73038408833446,8.947852760585334,8.60542307364079,9.262003838452769,14.300207467023201,6,0.6516826261391744,0.6267430698426044,0.6745626181223805,1.041500905948645,0.4369870472230773,0.6257148912852775,0.6476831794092,1.0214433905016571,2026-06-30 15:33:50 CEST,5m 48s,348.21,,13.73038408833446,27.46076817666892,0.3258413130695872,0.3133715349213022,0.33728130906119025,0.5207504529743225,0.21849352361153865
sdp_n28_rep1_seednone.log,28,1,28,9,18,18,hog,28,False,False,False,8.458940694368419,,,,,,,,,,,,,,2026-06-30 15:33:52 CEST,,,,8.458940694368419,16.917881388736838,,,,,
sdp_n29_rep1_seednone.log,29,1,29,11,22,22,hog,29,False,False,False,21.514871467372092,,,,,,,,,,,,,,2026-06-30 15:33:54 CEST,,,,21.514871467372092,43.029742934744185,,,,,
