log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n50_rep1_seednone.log,50,1,50,12,20,20,hog,50,False,False,True,10.09591330164353,11.97019392961929,12.44664453346175,12.350838208454356,20.618879240921935,11,1.1856474567457551,1.2328398790266495,1.2233502645514738,2.0422995547679035,1.0895497684403939,0.5805453240087973,0.5990062827441105,1.0309439620460967,2026-06-29 12:25:55 CEST,9h 59m 56s,35996.32,
sdp_n51_rep1_seednone.log,51,1,51,12,27,27,hog,51,False,False,True,12.84724310191013,17.637620723922765,15.802484214219975,18.387735369254926,26.040457630783582,14,1.3728720305215054,1.2300292046213759,1.4312592377520306,2.02692962406167,1.0897279586714193,0.6773160815373901,0.706121821281588,0.9644613937327252,2026-06-29 12:25:57 CEST,9h 53m 26s,35605.98,
sdp_n52_rep1_seednone.log,52,1,52,12,24,24,hog,52,False,False,True,12.441468738783845,16.220555408403158,15.147623657586893,16.821413179249507,25.3541865788048,17,1.3037492396567898,1.2175108884345092,1.3520440015905872,2.037877288536528,1.3663981606131297,0.6397584619008431,0.6634570242261928,1.0564244407835333,2026-06-29 12:25:59 CEST,9h 57m 44s,35864.16,
sdp_n53_rep1_seednone.log,53,1,53,12,24,24,hog,53,False,False,True,12.029461254769798,16.08950418739561,14.708621056434401,16.662677878769834,24.437920801773803,17,1.3375082929018096,1.2227165244496956,1.3851557876012877,2.031505840885761,1.4131971199673914,0.658382696216438,0.68183697025323,1.0182467000739084,2026-06-29 12:26:00 CEST,10h 0m 0s,36000.29,
sdp_n54_rep1_seednone.log,54,1,54,12,36,36,hog,54,False,False,True,15.571403208269018,21.595473337498976,19.52337946215737,21.967549871256985,31.53333229282375,22,1.3868675191732844,1.2537970535494,1.4107623813627383,2.0250796842816534,1.4128463379791711,0.6848459001084893,0.6966453677417495,0.8759258970228819,2026-06-29 12:26:03 CEST,9h 57m 26s,35845.55,
sdp_n55_rep1_seednone.log,55,1,55,12,36,36,hog,55,False,False,True,16.17240050117243,21.85131948976559,20.057266893800016,22.278050296902038,32.80791906165214,21,1.3511487974949337,1.2402158165911084,1.3775351590684992,2.0286363214461396,1.2985085299166064,0.66603796018586,0.6790449054399782,0.9113310850458929,2026-06-29 12:26:05 CEST,10h 0m 35s,36034.7,
sdp_n56_rep1_seednone.log,56,1,56,13,22,22,hog,56,False,False,True,11.638098845807027,13.331999994417663,14.192515765912804,13.931536134937373,23.698412549644363,13,1.1455479259158305,1.2194874741956743,1.1970628811042128,2.036278679501199,1.117020930328637,0.5625693268057202,0.5878679048967117,1.0772005704383802,2026-06-29 12:26:08 CEST,20h 17m 12s,73031.93,
sdp_n57_rep1_seednone.log,57,1,57,13,31,31,hog,57,False,False,True,15.082651333728045,18.73046094821673,18.694366535187328,19.139722916272593,31.07488750124622,16,1.24185466691333,1.2394615589490365,1.2689892839644226,2.060306693675011,1.0608214461750878,0.602752333293743,0.6159225167108012,1.0024157258466522,2026-06-29 12:26:09 CEST,20h 9m 27s,72566.54,
sdp_n58_rep1_seednone.log,58,1,58,13,43,43,hog,58,False,False,True,18.96307151431335,26.167127537755658,23.717204543150743,26.886129420789395,38.10113647766362,21,1.3798992171708406,1.2507047988111508,1.4178151150511515,2.009228117338736,1.1074155357242192,0.6867807618572179,0.7056516394609672,0.8860729413410144,2026-06-29 12:26:13 CEST,20h 17m 32s,73052.0,
sdp_n59_rep1_seednone.log,59,1,59,13,26,26,hog,59,False,False,True,13.401031243909475,15.715625645474974,16.509871133613657,16.16336843219044,27.852672816482144,14,1.1727176333998504,1.2319851236162958,1.2061287029336936,2.078397722499205,1.0446957211865875,0.564241204031775,0.5803166015229093,1.0712566467877749,2026-06-29 14:23:01 CEST,19h 53m 23s,71602.51,
sdp_n60_rep1_seednone.log,60,1,60,13,22,22,hog,60,False,False,True,11.624575641933111,14.919558027925694,14.297981785319783,15.434440604882063,23.879604677536058,14,1.2834496920564271,1.2299788160647296,1.3277422832714596,2.0542345297660254,1.2043450385834358,0.6247824547095946,0.646344058593294,1.085436576251639,2026-06-29 14:25:09 CEST,19h 47m 2s,71221.55,
sdp_n61_rep1_seednone.log,61,1,61,13,30,30,hog,61,False,False,True,14.016547902144048,21.21374723107863,17.282657177786987,22.003730333018034,28.29438981473495,20,1.5134787380731358,1.2330180939304847,1.5698394844890604,2.018641823384122,1.4268848606396651,0.7497510061175127,0.777671138239535,0.9431463271578316,2026-06-29 14:25:47 CEST,19h 43m 21s,71000.61,
sdp_n62_rep1_seednone.log,62,1,62,13,26,26,hog,62,False,False,True,13.140069496756482,15.470922965960236,16.159387012023185,15.988139451218636,26.92690100943766,16,1.177385170586739,1.229779417529869,1.2167469475838903,2.0492205932460514,1.2176495720931666,0.5745526735712291,0.5937608433148294,1.0356500388245253,2026-06-29 14:25:59 CEST,19h 57m 52s,71872.41,
sdp_n63_rep1_seednone.log,63,1,63,13,26,26,hog,63,False,False,True,13.132890089698572,17.144623741463995,16.245229927956533,17.5805024783802,27.24960794554785,17,1.305472262720924,1.23698818896682,1.3386621191759103,2.074913271902155,1.2944599310501186,0.6291695563372373,0.6451653364522102,1.0480618440595326,2026-06-29 14:26:40 CEST,19h 52m 42s,71561.6,
sdp_n64_rep1_seednone.log,64,1,64,13,39,39,hog,64,False,False,True,17.17167939774198,24.70114683637908,21.536662461749454,25.0834077594055,35.23809223553623,22,1.4384817154009528,1.254196631727323,1.4607428416526276,2.052105179658195,1.2811792888989606,0.7009785510314587,0.7118264970686997,0.903540826552211,2026-06-29 14:26:41 CEST,19h 37m 0s,70619.65,
sdp_n65_rep1_seednone.log,65,1,65,13,39,39,hog,65,False,False,True,16.847159005026217,24.707775851115414,21.34717467277681,25.101591429689996,34.69920784434563,24,1.4665841192419473,1.267108280179943,1.4899599049430907,2.0596474357482704,1.4245725343269917,0.71205590519386,0.7234053164063916,0.8897232780601444,2026-06-29 14:27:12 CEST,19h 36m 32s,70591.7,
sdp_n66_rep1_seednone.log,66,1,66,14,20,20,hog,66,False,False,False,10.928698928952658,,,,,,,,,,,,,,2026-06-29 14:28:40 CEST,,,
sdp_n67_rep1_seednone.log,67,1,67,14,46,46,hog,67,False,False,False,19.160847593323115,,,,,,,,,,,,,,2026-06-29 16:59:34 CEST,,,
sdp_n68_rep1_seednone.log,68,1,68,14,66,66,hog,68,False,False,False,24.909127638174105,,,,,,,,,,,,,,2026-06-29 17:02:20 CEST,,,
sdp_n69_rep1_seednone.log,69,1,69,14,21,21,hog,69,False,False,False,12.10754300664931,,,,,,,,,,,,,,2026-06-29 17:03:28 CEST,,,
sdp_n70_rep1_seednone.log,70,1,70,14,28,28,hog,70,False,False,False,14.382823791569031,,,,,,,,,,,,,,2026-06-29 17:03:37 CEST,,,
sdp_n71_rep1_seednone.log,71,1,71,14,35,35,hog,71,False,False,False,17.142846671255356,,,,,,,,,,,,,,2026-06-29 17:05:15 CEST,,,
sdp_n72_rep1_seednone.log,72,1,72,14,24,24,hog,72,False,False,False,12.41027208807872,,,,,,,,,,,,,,2026-06-29 17:06:21 CEST,,,
sdp_n73_rep1_seednone.log,73,1,73,14,33,33,hog,73,False,False,False,14.997074543021872,,,,,,,,,,,,,,2026-06-29 17:06:49 CEST,,,
sdp_n74_rep1_seednone.log,74,1,74,14,28,28,hog,74,False,False,False,15.05465873090712,,,,,,,,,,,,,,2026-06-29 17:07:19 CEST,,,
sdp_n75_rep1_seednone.log,75,1,75,14,28,28,hog,75,False,False,False,14.546821193589086,,,,,,,,,,,,,,2026-06-29 17:07:31 CEST,,,
sdp_n76_rep1_seednone.log,76,1,76,14,42,42,hog,76,False,False,False,18.5469254109166,,,,,,,,,,,,,,2026-06-29 22:19:34 CEST,,,
sdp_n77_rep1_seednone.log,77,1,77,14,42,42,hog,77,False,False,False,18.50395725531076,,,,,,,,,,,,,,2026-06-29 22:21:09 CEST,,,
