hog_graph_index,vertices,edges,rows,completed_rows_in_source_csv,estimated_qaoa_seconds_total,estimated_qaoa_minutes_total,estimated_qaoa_seconds_mean,estimated_qaoa_seconds_max
156,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
157,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
158,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
159,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
160,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
161,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
162,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
163,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
164,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
165,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
166,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
167,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
168,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
169,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
170,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
171,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
172,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
173,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
174,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
175,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
