run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
77e42855,12,11,4,100.0,True,False,"[1, 1, 1]",,,,7.251326184468742,,0.9188198409108898,,,,9.555603981018066,2026-04-19 15:56:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.39,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
786b098b,11,10,3,200.0,True,False,"[1, 1, 1]",,,,6.249999960107664,,0.8763320190840809,,,,8.417207956314087,2026-04-19 15:56:53,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.2,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
970f6af3,8,7,5,100.0,True,False,"[1, 1, 1]",,,,4.764783846186116,,0.9297139212070471,,,,5.610817909240723,2026-04-19 15:56:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.56,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
de0a6f06,4,3,5,200.0,True,False,"[1, 1, 1]",,,,2.3596557540806478,,0.9973185773798172,,,,5.043022632598877,2026-04-19 15:56:56,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.83,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
6ce51412,4,3,10,50.0,True,False,"[1, 1, 1]",,,,2.2550592603758957,,0.9531104228131426,,,,4.20810604095459,2026-04-19 15:56:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,207.06,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
32b66745,13,12,4,100.0,True,False,"[1, 1, 1]",,,,7.499999487491158,,0.879765335776089,,,,12.605765104293823,2026-04-19 15:57:10,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.64,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
d7eea158,12,11,3,200.0,True,False,"[1, 1, 1]",,,,7.249998999442795,,0.9186516725092239,,,,11.366109848022461,2026-04-19 15:57:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.2,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
9fd729c3,7,6,4,200.0,True,False,"[1, 1, 1]",,,,3.7499997906473714,,0.8648523502415524,,,,7.557234048843384,2026-04-19 15:57:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.73,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
12b779b0,9,8,5,100.0,True,False,"[1, 1, 1]",,,,4.999999714724269,,0.871687537434496,,,,7.576704978942871,2026-04-19 15:57:18,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.34,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
100fa90f,14,13,4,100.0,True,False,"[1, 1, 1]",,,,8.500016614294614,,0.9162462664972097,,,,21.664788007736206,2026-04-19 15:57:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,215.97,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
