run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
494e6275,10,15,1,100.0,False,True,"[1, 1, 1]",2.746882576259549,,,1.1584103682816216,3.9052929445411704,,,,,,27.805996894836426,2026-05-04 12:43:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,377.23,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,17,"[(2, 7), (0, 1), (4, 7), (3, 8), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (4, 8), (0, 2), (3, 6)]",
6089aaf8,10,15,1,100.0,False,True,"[1, 1, 1]",6.3225339890055245,,,0.0,6.3225339890055245,,,,,,27.860193014144897,2026-05-04 12:43:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,387.81,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,18,"[(8, 9), (0, 1), (2, 3), (1, 6), (3, 8), (5, 7), (2, 9), (0, 3), (4, 6), (4, 5), (5, 9), (4, 8), (0, 2), (6, 7), (1, 7)]",
d25f4598,10,15,1,200.0,False,True,"[1, 1, 1]",1.5000000001290794,,,4.49999999121712,5.9999999913462,,,,,,55.47244572639465,2026-05-04 12:44:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,378.33,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,9,"[(3, 9), (2, 7), (0, 1), (1, 6), (4, 7), (3, 8), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (5, 6), (4, 8), (0, 2)]",
302a0fd1,10,15,2,50.0,False,True,"[1, 1, 1]",1.5000000017757718,,,4.857587820139839,6.357587821915611,,,,,,25.777040243148804,2026-05-04 12:45:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.66,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,9,"[(3, 9), (2, 7), (0, 1), (1, 6), (4, 7), (3, 8), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (5, 6), (4, 8), (0, 2)]",
35fe3366,10,15,1,100.0,False,True,"[1, 1, 1]",4.306204365989834,,,0.1321561651848162,4.43836053117465,,,,,,28.297876358032227,2026-05-04 12:45:43,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,382.12,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,19,"[(3, 9), (0, 1), (2, 3), (1, 6), (4, 7), (5, 8), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (0, 2), (1, 7)]",
ed2e0c72,10,15,1,100.0,False,True,"[1, 1, 1]",3.15826503262498,,,1.582111855252439,4.740376887877419,,,,,,27.797223806381226,2026-05-04 12:46:15,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,378.03,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,20,"[(3, 9), (0, 1), (2, 3), (5, 8), (7, 9), (2, 9), (0, 3), (4, 6), (1, 8), (5, 6), (4, 5), (4, 8), (0, 2), (6, 7), (1, 7)]",
b968942c,8,12,2,100.0,False,True,"[1, 1, 1]",3.000000000001454,,,0.2652621636243424,3.2652621636257964,,,,,,5.55812931060791,2026-05-04 12:46:22,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,276.62,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,5,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (2, 5), (0, 2), (3, 6)]",
91d2507e,8,12,1,200.0,False,True,"[1, 1, 1]",3.3841495893246827,,,0.6670761867810877,4.05122577610577,,,,,,5.050091028213501,2026-05-04 12:46:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,273.75,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,10,"[(0, 1), (2, 3), (2, 6), (5, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (1, 4), (0, 2), (6, 7)]",
da2f6cb2,8,12,2,50.0,False,True,"[1, 1, 1]",4.026437181519233,,,0.7590020926904124,4.785439274209645,,,,,,3.0299010276794434,2026-05-04 12:46:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,275.14,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,10,"[(0, 1), (2, 3), (2, 6), (5, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (1, 4), (0, 2), (6, 7)]",
48149832,6,9,1,500.0,False,True,"[1, 1, 1]",3.6072925991561346,,,0.0016150584443970217,3.6089076576005317,,,,,,6.0147881507873535,2026-05-04 12:46:45,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,223.02,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
